,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Nice coworkers,Very nice and patient coworkers,It is tiring to work for long hours,Cashier,Current Employee,"White Sands, NM","Aug 17, 2022"
1,5.0,Good,The workmates at fairprice is very helpful,There is no downsides when working at fairprice,PT Temp Cashier,Former Employee,,"Jul 11, 2022"
2,2.0,average experience with shady staff members,location: it was close to home,"shift timing: it was based on an 8-hour work shift so morning (8am-4pm). afternoon (12pm-8pm), and evening (3pm-11pm). Plus, we only had one day off per week which was insane for a part-time job and the contract was three months long but many left the job after a week. Racial discrimination: on the first day, I met my colleagues who were Malay. Our supervisor was a Chinese middle-aged woman and she assigned them to the temperature screening station (which was literally our job scope) and separated me from the rest. She spoke to me in mandarin and asked me if I was Chinese (I'm Indonesian Chinese) and then said that I should do work that can benefit me and gain some skills along the way, implying that the temp screening job was for no-brainers. My new job was at the self-check-out counter where she ensured me that I could work my way up to cashiering but it was not what I wanted. Plus, when they took me off of that station (because I was underage and couldn't sell people alcohol, cigs, etc. = inconvenient), the Chinese ladies at that station were denigrating me and mocked my situation. Really fun working environment! Anyways, I hated that job and the environment. Left after a month because I needed cash.",Part Time Temperature Screener,Former Employee,"Choa Chu Kang New Town, ","Feb 19, 2023"
3,5.0,"Solid Working Environment, Friendly Superiors",Employers are friendly and approachable,"Difficult to catch a break, but due to short hours generally don't need them so often",Retail Packer,Former Employe,"Bukit Timah, ","Mar 27, 2023"
4,3.0,used to work,very ok to work there,nope the company is ok,Anonymous Employee,Former Employe,"Bukit Merah Estate, ","Mar 24, 2023"
5,4.0,Nice company to work for,Flexi working hours Flexi benefits,Need to work on weekends and odd hours too,Sr. Manager IT,Current Employee,Singapore,"Mar 20, 2023"
6,4.0,ntuc job review,"the supermarket is well organised, work is straightforward.","picky supervisor, and rude colleagues.",Restaurant Staff,Current Employe,,"Mar 22, 2023"
7,3.0,Local enterprise,One of the largest employers in Singapore,not much work life balance a lot of meetings siloed decision making,Deputy Director,Former Employee,Singapore,"Mar 20, 2023"
8,4.0,Nil,Friendly and good working environment,Not bad working environment at ntuc,Part Time Sales Associate,Current Employe,Singapore,"Mar 19, 2023"
9,4.0,Engaging job,Cashiering is very engaging and will not bore you out,Standing for long hours could be tiring for some people,Sales Associate/Cashier,Former Employee,Singapore,"Mar 14, 2023"
10,,,,,,,,
11,2.0,No work life balance,Earn new friendship during stay,No worklife balance and kept on changing GOALS,Executive,Former Employee,Singapore,"Mar 14, 2023"
12,5.0,Awesome,Good and helpful people around,6 days per week instead of 5 days,NTUC JOB PACKER,Former Employe,,"Mar 15, 2023"
13,5.0,Work life balance,Work life balance Decent pay and benefit,"Lack of communication When having project , need to keep on tight timeline",Senior Executive,Current Employee,Singapore,"Mar 12, 2023"
14,4.0,Good place to start,Good starting pay Family culture Performance bonus Retention bonus,Have to work some weekends Unreasonable customers sometimes May have shift work depending on store,Pharmacist,Current Employe,,"Mar 9, 2023"
15,4.0,Meaningful experience that made me respect the workers there.,Friendly older workers who are willing to guide and help you along. 1 hour lunch break given. Learn how the supermarket shelfing system works,6 days work weeks and work is tiring. Pay was higher due to festive season but regular pay is really not much for the full or part timers. Huge respect to all the workers there.,Retail Assistant,Former Employe,,"Feb 20, 2023"
16,4.0,Tired but fun,Lucky to have good colleagues who made environment fun,Long hours and shift work,Team Leader,Former Employee,Singapore,"Mar 12, 2023"
17,4.0,Good stable place to work,You make a direct impact on the community and it is the most trusted brand in Singapore,Excessive stakeholder alignement & management required that slows down decision making,Lead UX Researcher,Current Employee,Singapore,"Mar 6, 2023"
18,3.0,Apply if u can handle it,"Good pay, flexible hours (can work whenever you want)",1. Supervisors are rude and dismissive 2. Long standing hours,NTUC JOB PACKER,Former Employe,,"Mar 8, 2023"
19,1.0,Retail,Team is friendly. Supported by direct bosses and nice colleagues,"Minimal work life balance, very long hours, working on very lean manpower at below-market pay",Executive,Current Employee,Singapore,"Mar 15, 2023"
20,4.0,Good place,Work life balance is there,Growth options are less for employees.,Data Engineering Manager,Former Employee,Singapore,"Mar 9, 2023"
21,4.0,Not a bad employer,Nice office and friendly colleagues,Lacks some flexibility and creativity,Marketing Executive,Former Employe,Singapore,"Feb 28, 2023"
22,4.0,Retail Associate (Cashier),"Friendly working environment , and its easy to work not too taxing .",Some of the customers can be very demanding .,Retail Associate/Cashier,Current Employee,"Clementi New Town, ","Feb 20, 2023"
23,4.0,An okay job,Competitive Pay Simple to get hang of,"6 day work week, standing job",Sales Associate/Cashier,Former Employee,"Bedok New Town, ","Feb 24, 2023"
24,4.0,Nice company to work,"Good la, good and friendly colleagues",Nothing can think of at the moment,Cashier,Former Employee,Singapore,"Feb 22, 2023"
25,2.0,No work life balance,Earn new friendship during stay,No worklife balance and kept on changing GOALS,Executive,Former Employee,Singapore,"Mar 14, 2023"
26,4.0,Part Time NTUC,- work culture is great,- unable to choose scheduled time to work,NTUC JOB PACKER,Current Employee,Singapore,"Feb 17, 2023"
27,4.0,Good for short term job,"Application process was straightforward, with helpful and kind full time staff to work with","Rigid work schedule, unable to choose preferred days",Cashier,Former Employe,,"Feb 9, 2023"
28,4.0,Good,Quit good hahahahaha got good,Busy busy busy busy busy,Cashier,Former Employe,"Ang Mo Kio New Town, ","Feb 16, 2023"
